city,store,address,zip,phone,self_checkout,lat,lng
Abington,Super Stop & Shop (F&P) #054,375 Centre Street,02351,(781)871-0020,Yes,42.0836501,-71.0045933
Abington,Trucchi's Supermarket #4,858 Bedford Street,02351,(781)878-5080,,42.1275434,-70.95083869999999
Abington,Walmart Store  (F&P) #2227,777 Brockton Ave,02351,(781)857-2345,Yes,42.0967256,-70.9678885
Acton,CVS Pharmacy #706,400 Mass Ave,01720,(978)263-3385,,42.474036,-71.4504369
Acton,Roche Bros. Supermarkets #112,387 Mass Ave,01720,(978)263-0404,,42.4755,-71.4487
Acton,Stop & Shop #2424,252 Main Street,01720,(978)849-0012,Yes,42.4740172,-71.4560953
Acton,Walgreens #19806,100 Powder Mill Rd,01720,(978)897-1900,,42.4420106,-71.4277649
Adams,Adams Hometown Markets,1 Myrtle Street,01220,(413)743-1941,,42.6203235,-73.1185891
Adams,Walgreens #19038,21 Columbia Street,01220,(413)743-4659,,42.6263291,-73.1175676
Agawam,Geissler's Supermarket,830 Suffield Street,01001,(413)821-8904,,42.0609165,-72.6336884
Agawam,Walgreens #4358,60 Springfield Street,01001,(413)786-1126,,42.090172,-72.62988539999999
Allston,CVS Pharmacy #1024,1266 Commonwealth Ave,02134,(617)277-6080,,42.3490182,-71.1325056
Allston,CVS Pharmacy #5382,181 Brighton Ave,02134,(617)779-7313,,42.3538454,-71.133804
Allston,"Mayfair Foods, Inc.",506 Cambridge Street,02134,(617)782-5539,,42.35314510000001,-71.1379871
Allston,Stop & Shop #2489,305 Guest Street,02134,(617)779-9116,Yes,42.3561724,-71.1404574
Amesbury,Super Stop & Shop (F&P) #499,100 Macy Street,01913,(978)388-7588,Yes,42.84742809999999,-70.9112262
Amesbury,Walgreens #19631,15 Haverhill Road,01913,(978)834-0014,,42.8463548,-70.93587169999999
Amherst,Big Y Foods #46,175 University Drive,01002,(413)253-0416,,42.3680284,-72.53416250000001
Amherst,CVS Pharmacy #1095,165 University Drive,01002,(413)256-0421,,42.3686186,-72.53393919999999
Andover,Stop & Shop #471,209 N Main Street,01810,(978)623-9912,Yes,42.6652351,-71.1444803
Arlington,CVS Pharmacy #130,23-25 Mass Ave,02474,(781)648-0557,,42.395892,-71.1281941
Arlington,Super Stop & Shop (F&P) #776,905 Mass Ave,02474,(781)646-3625,Yes,42.4181372,-71.1644359
Arlington,CVS Pharmacy #278,833 Mass Ave,02476,(781)643-4272,,42.41714109999999,-71.1603548
Ashland,Market Basket #46,49 Pond Street,01721,(508)872-7410,,42.257084,-71.4282666
Ashland,Shaw's Supermarket #1419,301 Pond Street,01721,(508)881-5125,Yes,42.2409072,-71.4330904
Ashland,Walgreen's #18065,339 Pond Street,01721,(508)881-7311,,42.2401338,-71.43331069999999
Athol,CVS Pharmacy #1068,1653 Main Street,01331,(978)249-7928,,42.5879741,-72.2153865
Athol,Hannaford Supermarket #8385,150 New Athol Road,01331,(978)249-7955,,42.5816415,-72.26284120000001
Athol,Market Basket #78,147 Tower Road,01331,(978)248-9401,,42.5810124,-72.1887186
